"","SampleID","DetectionFrequency"
"1","V2",0.460733415739596
"2","V3",0.361087762669963
"3","V4",0.401615162752369
"4","V5",0.487433044911413
"5","V6",0.414091470951792
"6","V7",0.455393489905233
"7","V8",0.364927894519984
"8","V9",0.362109600329625
"9","V10",0.447400082406263
"10","V11",0.393358055212196
"11","V12",0.414503502266172
"12","V13",0.38360115368768
"13","V14",0.593885455294602
"14","V15",0.477313555830243
"15","V16",0.516242274412855
"16","V17",0.532542233209724
"17","V18",0.260453234445818
"18","V19",0.448339513803049
"19","V20",0.298508446641945
"20","V21",0.470918829831067
"21","V22",0.484763081994232
"22","V23",0.3263123197363
"23","V24",0.456036258755665
"24","V25",0.356918005768438
"25","V26",0.511479192418624
"26","V27",0.50487021013597
"27","V28",0.398846312319736
"28","V29",0.473704161516275
"29","V30",0.205554182117841
"30","V31",0.324449938195303
"31","V32",0.412097239390194
"32","V33",0.314742480428513
"33","V34",0.502991347342398
"34","V35",0.362043675319324
"35","V36",0.467111660486197
"36","V37",0.363543469303667
"37","V38",0.449410795220437
"38","V39",0.257189946435929
"39","V40",0.559917593737124
"40","V41",0.311314379892872
"41","V42",0.611141326740832
"42","V43",0.391133086114545
"43","V44",0.470523279769262
"44","V45",0.401499793984343
"45","V46",0.483428100535641
"46","V47",0.392402142562835
"47","V48",0.624309847548414
"48","V49",0.443510506798517
"49","V50",0.436060980634528
"50","V51",0.427391841779975
"51","V52",0.251784095591265
"52","V53",0.201334981458591
"53","V54",0.159769262463947
"54","V55",0.410712814173877
"55","V56",0.400082406262876
"56","V57",0.447053976102184
"57","V58",0.414009064688916
"58","V59",0.464293366295839
"59","V60",0.281252575195715
"60","V61",0.240247218788628
"61","V62",0.51413267408323
"62","V63",0.377799752781211
"63","V64",0.588380716934487
"64","V65",0.447466007416564
"65","V66",0.59663782447466
"66","V67",0.447795632468068
"67","V68",0.301409147095179
"68","V69",0.588512566955089
"69","V70",0.557610218376597
"70","V71",0.479703337453646
"71","V72",0.627144622991347
"72","V73",0.589864029666255
"73","V74",0.604779563246807
"74","V75",0.347227029254223
"75","V76",0.333695920889988
"76","V77",0.240741656365884
"77","V78",0.35742892459827
"78","V79",0.528306551297899
"79","V80",0.417684384013185
"80","V81",0.482966625463535
"81","V82",0.161466831479192
"82","V83",0.324202719406675
"83","V84",0.455146271116605
"84","V85",0.348496085702513
"85","V86",0.503551709929955
"86","V87",0.310539761021838
"87","V88",0.404532344458179
"88","V89",0.520988875154512
"89","V90",0.314165636588381
"90","V91",0.22442521631644
"91","V92",0.271726411207252
"92","V93",0.213629995879687
"93","V94",0.45183353934899
"94","V95",0.347721466831479
"95","V96",0.298030490317264
"96","V97",0.297569015245159
